0_Angle,0_LCR,15_Angle,0_LCR,30_Angle,30_LCR,45_Angle,45_LCR,60_Angle,60_LCR,75_Angle,75_LCR
106.0483935,5.202696077,170.7110035,0.960568369,125.4745916,0.827931726,4.892175122,20.30504069,,,,
108.7583342,3.443624165,178.6912794,0.960568369,143.800621,1.023653208,10.52923595,20.49614128,,,,
111.0840146,1.960409629,,,152.0677187,1.103358161,14.12541217,21.0688622,,,,
113.4398726,0.73508966,,,161.1579713,1.083501352,,,,,,
117.2905233,0.418431055,,,170.5248307,1.09766495,,,,,,
123.1288663,0.476425257,,,179.4784463,1.111203684,,,,,,
126.3276828,0.522102106,,,,,,,,,,
130.1,0.54,,,,,,,,,,
136.8978599,0.674529344,,,,,,,,,,
145.1,0.71,,,,,,,,,,
152.4654333,0.817718567,,,,,,,,,,
160.01,0.82,,,,,,,,,,
168.4333618,0.82,,,,,,,,,,
175.7906396,0.87,,,,,,,,,,
179.95,0.9,,,,,,,,,,
